"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K16055","K16055",190,"TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]"
"KO:K01881","K01881",188,"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"
"KO:K02355","K02355",188,"fusA, GFM, EFG; elongation factor G"
"KO:K03178","K03178",188,"UBE1, UBA1; ubiquitin-activating enzyme E1 [EC:6.2.1.45]"
"KO:K11654","K11654",188,"SMARCA5, SNF2H, ISWI; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:5.6.2.-]"
"KO:K00641","K00641",187,"metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]"
"KO:K00844","K00844",187,"HK; hexokinase [EC:2.7.1.1]"
"KO:K12598","K12598",187,"MTR4, SKIV2L2; ATP-dependent RNA helicase DOB1 [EC:3.6.4.13]"
"KO:K11984","K11984",185,"SART1, HAF, SNU66; U4/U6.U5 tri-snRNP-associated protein 1"
"KO:K02999","K02999",184,"RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]"
"KO:K04646","K04646",184,"CLTC; clathrin heavy chain"
"KO:K13830","K13830",184,"ARO1; pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]"
"KO:K14802","K14802",184,"DRS2, ATP8A; phospholipid-transporting ATPase [EC:7.6.2.1]"
"KO:K14951","K14951",182,"ATP13A3_4_5; cation-transporting P-type ATPase 13A3/4/5 [EC:7.2.2.-]"
"KO:K00164","K00164",181,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"KO:K00276","K00276",180,"AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]"
"KO:K06640","K06640",180,"ATR; serine/threonine-protein kinase ATR [EC:2.7.11.1]"
"KO:K17065","K17065",180,"DNM1L; dynamin 1-like protein [EC:3.6.5.5]"
"KO:K01876","K01876",179,"DARS2, aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]"
"KO:K10756","K10756",179,"RFC3_5; replication factor C subunit 3/5"
"KO:K15192","K15192",179,"BTAF1, MOT1; TATA-binding protein-associated factor [EC:5.6.2.-]"
"KO:K03878","K03878",178,"ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]"
"KO:K12879","K12879",178,"THOC2; THO complex subunit 2"
"KO:K00888","K00888",177,"PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]"
"KO:K01078","K01078",177,"PHO; acid phosphatase [EC:3.1.3.2]"
"KO:K01868","K01868",177,"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]"
"KO:K01840","K01840",176,"manB; phosphomannomutase [EC:5.4.2.8]"
"KO:K02126","K02126",176,"ATPeF0A, MTATP6, ATP6; F-type H+-transporting ATPase subunit a"
"KO:K08257","K08257",173,"E3.2.1.101; mannan endo-1,6-alpha-mannosidase [EC:3.2.1.101]"
"KO:K10755","K10755",173,"RFC2_4; replication factor C subunit 2/4"
"KO:K03021","K03021",172,"RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]"
"KO:K14401","K14401",172,"CPSF1, CFT1; cleavage and polyadenylation specificity factor subunit 1"
"KO:K01533","K01533",171,"copB; P-type Cu2+ transporter [EC:7.2.2.9]"
"KO:K10742","K10742",171,"DNA2; DNA replication ATP-dependent helicase/nuclease Dna2 [EC:5.6.2.3 3.1.-.-]"
"KO:K01190","K01190",170,"lacZ; beta-galactosidase [EC:3.2.1.23]"
"KO:K01191","K01191",170,"MAN2C1; alpha-mannosidase [EC:3.2.1.24]"
"KO:K01127","K01127",169,"GPLD1; glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]"
"KO:K04487","K04487",169,"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
"KO:K00030","K00030",168,"IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"KO:K03231","K03231",168,"EEF1A; elongation factor 1-alpha"
"KO:K10866","K10866",168,"RAD50; DNA repair protein RAD50 [EC:3.6.-.-]"
"KO:K00108","K00108",167,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
"KO:K01192","K01192",167,"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"
"KO:K05767","K05767",165,"IQGAP2_3; Ras GTPase-activating-like protein IQGAP2/3"
"KO:K02320","K02320",164,"POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]"
"KO:K14007","K14007",164,"SEC24; protein transport protein SEC24"
"KO:K08779","K08779",163,"CPA1; carboxypeptidase A1 [EC:3.4.17.1]"
"KO:K00921","K00921",161,"PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]"
"KO:K03781","K03781",161,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
"KO:K10808","K10808",161,"RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]"
"KO:K14796","K14796",161,"TMA23; nucleolar protein TMA23"
"KO:K01262","K01262",160,"pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]"
"KO:K01626","K01626",160,"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"KO:K00697","K00697",159,"otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]"
"KO:K03234","K03234",159,"EEF2; elongation factor 2"
"KO:K14729","K14729",159,"FOX2; multifunctional beta-oxidation protein [EC:4.2.1.- 1.1.1.-]"
"KO:K10357","K10357",158,"MYO5; myosin V"
"KO:K14792","K14792",158,"RRP5, PDCD11; rRNA biogenesis protein RRP5"
"KO:K00793","K00793",157,"ribE, RIB5; riboflavin synthase [EC:2.5.1.9]"
"KO:K07151","K07151",157,"STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]"
"KO:K10777","K10777",157,"LIG4, DNL4; DNA ligase 4 [EC:6.5.1.1]"
"KO:K15394","K15394",157,"ACE1; hybrid polyketide synthase / nonribosomal peptide synthetase ACE1"
"KO:K00586","K00586",156,"DPH5; diphthine methyl ester synthase [EC:2.1.1.314]"
"KO:K00658","K00658",156,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
"KO:K01196","K01196",155,"AGL; glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]"
"KO:K08770","K08770",155,"UBC; ubiquitin C"
"KO:K17677","K17677",155,"IRC3; ATP-dependent helicase IRC3 [EC:5.6.2.-]"
"KO:K01810","K01810",154,"GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
"KO:K06675","K06675",154,"SMC4; structural maintenance of chromosome 4"
"KO:K08956","K08956",154,"AFG3; AFG3 family protein [EC:3.4.24.-]"
"KO:K17686","K17686",154,"copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]"
"KO:K00948","K00948",153,"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"KO:K03163","K03163",153,"TOP1; DNA topoisomerase I [EC:5.6.2.1]"
"KO:K06669","K06669",153,"SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)"
"KO:K08300","K08300",153,"rne; ribonuclease E [EC:3.1.26.12]"
"KO:K11839","K11839",153,"USP8, UBP5; ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]"
"KO:K00706","K00706",152,"E2.4.1.34; 1,3-beta-glucan synthase [EC:2.4.1.34]"
"KO:K10901","K10901",152,"BLM, RECQL3, SGS1; bloom syndrome protein [EC:5.6.2.4]"
"KO:K03002","K03002",151,"RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]"
"KO:K14326","K14326",151,"UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.13 5.6.2.3]"
"KO:K16803","K16803",151,"CKAP5; cytoskeleton-associated protein 5"
"KO:K18442","K18442",151,"ARFGEF, BIG; brefeldin A-inhibited guanine nucleotide-exchange protein"
"KO:K12828","K12828",150,"SF3B1, SAP155; splicing factor 3B subunit 1"
"KO:K13507","K13507",150,"GAT; glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]"
"KO:K18703","K18703",150,"SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]"
"KO:K01181","K01181",149,"E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]"
"KO:K01754","K01754",149,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
"KO:K11594","K11594",149,"DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]"
"KO:K01647","K01647",148,"CS, gltA; citrate synthase [EC:2.3.3.1]"
"KO:K06699","K06699",148,"PSME4; proteasome activator subunit 4"
"KO:K14152","K14152",148,"HIS4; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase / histidinol dehydrogenase [EC:3.6.1.31 3.5.4.19 1.1.1.23]"
"KO:K07047","K07047",147,"nfdA; N-substituted formamide deformylase [EC:3.5.1.91]"
"KO:K01969","K01969",146,"E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]"
"KO:K04567","K04567",146,"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
"KO:K04728","K04728",146,"ATM, TEL1; serine-protein kinase ATM [EC:2.7.11.1]"
"KO:K10706","K10706",146,"SETX, ALS4; senataxin [EC:5.6.2.-]"
"KO:K11835","K11835",146,"USP4_11, UBP12; ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12]"
"KO:K12858","K12858",146,"DDX23, PRP28; ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]"
"KO:K00749","K00749",145,"E2.4.1.183; alpha-1,3-glucan synthase [EC:2.4.1.183]"
"KO:K01301","K01301",145,"NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]"
"KO:K04079","K04079",145,"HSP90A, htpG; molecular chaperone HtpG"
"KO:K12815","K12815",145,"DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]"
"KO:K14676","K14676",145,"NTE, NRE; lysophospholipid hydrolase [EC:3.1.1.5]"
"KO:K00232","K00232",144,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]"
"KO:K00626","K00626",144,"ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"KO:K01194","K01194",144,"TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
"KO:K06636","K06636",144,"SMC1; structural maintenance of chromosome 1"
"KO:K14811","K14811",142,"DBP3; ATP-dependent RNA helicase DBP3 [EC:3.6.4.13]"
"KO:K14772","K14772",141,"UTP20; U3 small nucleolar RNA-associated protein 20"
"KO:K18664","K18664",141,"SLH1; antiviral helicase SLH1 [EC:3.6.4.13]"
"KO:K00700","K00700",140,"GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
"KO:K04043","K04043",140,"dnaK, HSPA9; molecular chaperone DnaK"
"KO:K09490","K09490",140,"HSPA5, BIP; endoplasmic reticulum chaperone BiP [EC:3.6.4.10]"
"KO:K06883","K06883",139,"K06883; uncharacterized protein"
"KO:K10590","K10590",139,"TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]"
"KO:K13107","K13107",139,"RBMX2, IST3; RNA-binding motif protein, X-linked 2"
"KO:K19691","K19691",139,"NIK1, TCSC; osomolarity two-component system, sensor histidine kinase NIK1 [EC:2.7.13.3]"
"KO:K00927","K00927",138,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
"KO:K01265","K01265",138,"map; methionyl aminopeptidase [EC:3.4.11.18]"
"KO:K18932","K18932",138,"ZDHHC; palmitoyltransferase [EC:2.3.1.225]"
"KO:K00624","K00624",137,"E2.3.1.7; carnitine O-acetyltransferase [EC:2.3.1.7]"
"KO:K09503","K09503",137,"DNAJA2; DnaJ homolog subfamily A member 2"
"KO:K11254","K11254",137,"H4; histone H4"
"KO:K01693","K01693",136,"hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]"
