taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	Is Public	Genome Size   * assembled	Gene Count   * assembled	JGI Data Utilization Status	
2941176579	Eukaryota	Permanent Draft	Candida albicans Ca6 Genome sequencing	Candida albicans Ca6	Broad Institute	2941176579	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans	260928	Ga0129454	Genome Analysis (Isolate)	Gp0037562	No	14716334	6434		
2940903975	Eukaryota	Permanent Draft	Comparative Genomics and Virulence in the pathogenic fungus Paracoccidioides brasiliensis	Blastomyces silverae UAMH 139	Broad Institute	2940903975	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces silverae	260892	Ga0103209	Genome Analysis (Isolate)	Gp0037822	No	30969503	8717		
2721755843	Eukaryota	Permanent Draft	Antagonism of naturally occurring yeasts against plant pathogenic fungi	Metschnikowia pulcherrima APC 1.2	Functional Genomics Center Zurich	2721755843	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia pulcherrima	118943	Ga0180827	Genome Analysis (Isolate)	Gp0207165	No	15878220	6149		
2941296366	Eukaryota	Permanent Draft	sequencing of Trichophyton	Trichophyton kanei CBS 289.86	Broad Institute	2941296366	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton rubrum	260945	Ga0129494	Genome Analysis (Isolate)	Gp0037046	No	23051776	10697		
2955251134	Eukaryota	Draft	Tritrichomonas foetus K genome sequencing	Tritrichomonas foetus K	National Laboratory for Scientific Computing (LNCC), Brazil	2955251134	Parabasalia	unclassified	Tritrichomonadida	Tritrichomonadidae	Tritrichomonas	Tritrichomonas foetus	261434	Ga0197236	Genome Analysis (Isolate)	Gp0219990	No	67585742	25168		
2940978926	Eukaryota	Permanent Draft	Broad institute Candida albicans Clinical Isolates	Candida albicans P37037	Broad Institute	2940978926	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans	260903	Ga0103986	Genome Analysis (Isolate)	Gp0037595	No	14475823	6424		
2942623998	Eukaryota	Permanent Draft	Entamoeba histolytica comparative genome sequencing project	Entamoeba histolytica HM3:IMSS-A	J. Craig Venter Institute	2942623998	Evosea	unclassified	Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica	261328	Ga0040260	Genome Analysis (Isolate)	Gp0008345	No	12292336	6330		
2941419420	Eukaryota	Permanent Draft	Hanseniaspora uvarum DSM2768 Genome sequencing	Hanseniaspora uvarum DSM 2768	University of Osnabruck	2941419420	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora uvarum	260960	Ga0129602	Genome Analysis (Isolate)	Gp0039117	No	9503661	3280		
2955363617	Eukaryota	Draft	Halteria grandinella QDHG01	Halteria grandinella QDHG01	Ocean University of China	2955363617	Ciliophora	Spirotrichea	Sporadotrichida	Halteriidae	Halteria	Halteria grandinella	261461	Ga0487881	Genome Analysis (Isolate)	Gp0546397	No	64049499	17796		
2940476125	Eukaryota	Permanent Draft	Phytophthora infestans T30-4	Phytophthora infestans T30-4	Broad Institute	2940476125	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora infestans	260774	Ga0039147	Genome Analysis (Isolate)	Gp0006770	No	228543505	19582		
2943169045	Eukaryota	Permanent Draft	Blastocystis sp. ST4 strain WR1 Genome sequencing	Blastocystis sp. ST4	Blaise Pascal University	2943169045	unclassified	Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis sp. subtype 4	261394	Ga0129913	Genome Analysis (Isolate)	Gp0103364	No	12919355	5707		
2943285651	Eukaryota	Draft	Perkinsela sp. CCAP 1560/4 Genome sequencing	Perkinsela sp. CCAP 1560/4	Dalhousie University	2943285651	Euglenozoa	Kinetoplastea	unclassified	Ichthyobodonidae	Perkinsela	Perkinsela sp. CCAP 1560/4	261421	Ga0197159	Genome Analysis (Isolate)	Gp0219591	No	9477801	5252		
2955188963	Eukaryota	Finished	Plasmodium species endemic to wild African apes genome sequencing and assembly	Plasmodium reichenowi SY57	University of Pennsylvania	2955188963	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium reichenowi	261407	Ga0133645	Genome Analysis (Isolate)	Gp0149987	No	20501737	5559		
2943807996	Eukaryota	Draft	Genome sequencing and annotation for Aphanomyces spp. Genome sequencing and assembly	Aphanomyces astaci 197901	University of Exeter	2943807996	Oomycota	unclassified	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces astaci	261489	Ga0487913	Genome Analysis (Isolate)	Gp0546913	No	71488524	16762		
2942303361	Eukaryota	Permanent Draft	Toxoplasma gondii VEG	Toxoplasma gondii VEG	J. Craig Venter Institute	2942303361	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	261299	Ga0039329	Genome Analysis (Isolate)	Gp0002452	No	64517343	8563		
2943125647	Eukaryota	Permanent Draft	Genomic analysis of the causative agents of coccidiosis in chickens	Eimeria maxima Weybridge	Wellcome Trust Sanger Institute	2943125647	Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria	Eimeria maxima	261387	Ga0129883	Genome Analysis (Isolate)	Gp0100790	No	45975062	6057		
2942960494	Eukaryota	Permanent Draft	Genomic analysis of the causative agents of coccidiosis in chickens	Eimeria acervulina	Wellcome Trust Sanger Institute	2942960494	Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria	Eimeria acervulina	261361	Ga0129187	Genome Analysis (Isolate)	Gp0100788	No	45830609	6867		
2955595458	Eukaryota	Draft	Isolates of two closely related phytophthora species causing either red core disease on Strawberry (P.fragariae) or Raspberry root rot (P.rubi). Genome sequencing and assembly	Phytophthora fragariae NOV-71	National Institute of Animal Biotechnology (NIAB)	2955595458	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora fragariae	261484	Ga0487907	Genome Analysis (Isolate)	Gp0548294	No	78371082	33963		
2943477882	Eukaryota	Draft	Planoprotostelium fungivorum Jena genome sequencing	Planoprotostelium fungivorum Jena	University of Cologne	2943477882	Evosea	Variosea	Cavosteliida	Cavosteliaceae	Planoprotostelium	Planoprotostelium fungivorum	261452	Ga0415452	Genome Analysis (Isolate)	Gp0443251	No	38288105	17493		
2955698539	Eukaryota	Draft	Aphanomyces astaci	Aphanomyces astaci E	Centre National de la Recherche Scientifique (CNRS)	2955698539	Oomycota	unclassified	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces astaci	261508	Ga0487934	Genome Analysis (Isolate)	Gp0547003	No	45170078	15887		
2955629426	Eukaryota	Draft	Isolates of two closely related phytophthora species causing either red core disease on Strawberry (P.fragariae) or Raspberry root rot (P.rubi). Genome sequencing and assembly	Phytophthora fragariae NOV-27	National Institute of Animal Biotechnology (NIAB)	2955629426	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora fragariae	261486	Ga0487910	Genome Analysis (Isolate)	Gp0548290	No	78749363	34622		
2955319156	Eukaryota	Draft	Cryptosporidium ubiquitum 39726 genome sequencing	Cryptosporidium ubiquitum 39726	Centers for Disease Control and Prevention (CDC), USA	2955319156	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium ubiquitum	261438	Ga0197266	Genome Analysis (Isolate)	Gp0220020	No	8970213	3760		
2944119755	Eukaryota	Draft	Pythium oligandrum ATCC 38472_TT	Pythium oligandrum ATCC 38472_TT	Centre National de la Recherche Scientifique (CNRS)	2944119755	Oomycota	unclassified	Pythiales	Pythiaceae	Pythium	Pythium oligandrum	261502	Ga0487928	Genome Analysis (Isolate)	Gp0549398	No	41968875	14954		
2954978324	Eukaryota	Draft	Trypanosoma brucei gambiense DAL972	Trypanosoma brucei gambiense DAL972	Wellcome Trust Sanger Institute	2954978324	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma brucei	261300	Ga0039335	Genome Analysis (Isolate)	Gp0002459	No	22148088	9970		
2955044034	Eukaryota	Permanent Draft	Phytophthora nicotianae Genome sequencing and assembly	Phytophthora nicotianae race 1	Chinese Academy of Sciences	2955044034	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora nicotianae	261360	Ga0129180	Genome Analysis (Isolate)	Gp0142289	No	71413976	10519		
2942492002	Eukaryota	Permanent Draft	Genome and transcriptome sequencing of Toxoplasma gondii ME49	Toxoplasma gondii p89	J. Craig Venter Institute	2942492002	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	261317	Ga0040059	Genome Analysis (Isolate)	Gp0009648	No	64164121	9874		
2940871517	Eukaryota	Permanent Draft	Broad institute Candida albicans Clinical Isolates	Candida albicans P75063	Broad Institute	2940871517	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans	260888	Ga0103192	Genome Analysis (Isolate)	Gp0037602	No	14453728	6388		
2942906309	Eukaryota	Permanent Draft	Plasmodium falciparum Tanzania (2000708) genome sequencing project	Plasmodium falciparum Tanzania (2000708)	Broad Institute	2942906309	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	261354	Ga0103060	Genome Analysis (Isolate)	Gp0037732	No	27023494	6776		
2943320715	Eukaryota	Draft	Genome and transcriptome sequencing of Stentor coeruleus WM001	Stentor coeruleus WM001	University of California, San Francisco	2943320715	Ciliophora	Heterotrichea	Heterotrichida	Stentoridae	Stentor	Stentor coeruleus	261431	Ga0197210	Genome Analysis (Isolate)	Gp0219710	No	77831160	31426		
2943557251	Eukaryota	Draft	Peronospora effusa whole genome sequencing and assembly	Peronospora effusa R14	University of California, Davis	2943557251	Oomycota	unclassified	Peronosporales	Peronosporaceae	Peronospora	Peronospora effusa	261463	Ga0487883	Genome Analysis (Isolate)	Gp0547086	No	30813317	8569		
2944085250	Eukaryota	Draft	Isolates of two closely related phytophthora species causing either red core disease on Strawberry (P.fragariae) or Raspberry root rot (P.rubi). Genome sequencing and assembly	Phytophthora fragariae BC-1	National Institute of Animal Biotechnology (NIAB)	2944085250	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora fragariae	261501	Ga0487926	Genome Analysis (Isolate)	Gp0548292	No	79097775	34500		
2942324555	Eukaryota	Permanent Draft	Plasmodium falciparum comparative genome sequencing project	Plasmodium falciparum Santa Lucia	Broad Institute	2942324555	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	261302	Ga0039357	Genome Analysis (Isolate)	Gp0003439	No	23471019	6249		
2940755800	Eukaryota	Permanent Draft	Aspergillus rambellii strain:SRRC1468 Genome sequencing	Aspergillus rambellii SRRC1468	U.S. Department of Agriculture, Agricultural Research Service 	2940755800	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus rambellii	260873	Ga0103051	Genome Analysis (Isolate)	Gp0117376	No	26435630	7761		
2955790241	Eukaryota	Draft	Reference genome assemblies for umbrella project PRJEB43248	Rotaria sp. Silwood1 RSIL806	Imperial College London	2955790241	Rotifera	Eurotatoria	unclassified	unclassified	Rotaria	Rotaria sp. Silwood1	261519	Ga0523701	Genome Analysis (Isolate)	Gp0607683	No	294078350	48806		
2940518675	Eukaryota	Permanent Draft	Plasmodium falciparum comparative genome sequencing project	Plasmodium falciparum Dd2	Broad Institute	2940518675	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	260843	Ga0039155	Genome Analysis (Isolate)	Gp0002425	No	20875591	5535		
2943114244	Eukaryota	Permanent Draft	Trypanosoma cruzi Dm28c	Trypanosoma cruzi Dm28c	National Laboratory for Scientific Computing (LNCC), Brazil	2943114244	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	261384	Ga0129787	Genome Analysis (Isolate)	Gp0071508	No	27347664	11398		
2943411776	Eukaryota	Draft	Comparative Genomics of Phytophthora parasitica	Phytophthora parasitica P10297	Broad Institute	2943411776	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora nicotianae	261442	Ga0197315	Genome Analysis (Isolate)	Gp0220095	No	54574294	28112		
2955194527	Eukaryota	Finished	Plasmodium species endemic to wild African apes genome sequencing and assembly	Plasmodium gaboni SY75	University of Pennsylvania	2955194527	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium gaboni	261412	Ga0133722	Genome Analysis (Isolate)	Gp0149988	No	20385537	5620		
2955237411	Eukaryota	Permanent Draft	Genome sequence of Phytophthora isolates from South America	Phytophthora kernoviae Chile4	University of Exeter	2955237411	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora kernoviae	261415	Ga0157737	Genome Analysis (Isolate)	Gp0189552	No	37367739	9841		
2955200152	Eukaryota	Permanent Draft	Genome sequence of Phytophthora isolates from South America	Phytophthora kernoviae Chile7	University of Exeter	2955200152	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora kernoviae	261413	Ga0157715	Genome Analysis (Isolate)	Gp0189554	No	37002228	10128		
2943708653	Eukaryota	Draft	Perkinsus olseni comparative genomics	Perkinsus olseni ATCC PRA-179	Department of Primary Industries, Queensland	2943708653	Perkinsozoa	unclassified	Perkinsida	Perkinsidae	Perkinsus	Perkinsus olseni	261480	Ga0487903	Genome Analysis (Isolate)	Gp0548080	No	39988496	11273		
2944002884	Eukaryota	Draft	Isolates of two closely related phytophthora species causing either red core disease on Strawberry (P.fragariae) or Raspberry root rot (P.rubi). Genome sequencing and assembly	Phytophthora fragariae NOV-5	National Institute of Animal Biotechnology (NIAB)	2944002884	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora fragariae	261497	Ga0487922	Genome Analysis (Isolate)	Gp0548291	No	78992522	34515		
2940673879	Eukaryota	Permanent Draft	Sporothrix schenckii 1099-18 Genome sequencing	Sporothrix schenckii 1099-18	National Laboratory for Scientific Computing (LNCC), Brazil	2940673879	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix schenckii	260862	Ga0100336	Genome Analysis (Isolate)	Gp0047866	No	32375103	10434		
2941317948	Eukaryota	Permanent Draft	Nematocida sp. 1 ERTm6 Genome sequencing	Nematocida sp. 1 ERTm6	Broad Institute	2941317948	Microsporidia	unclassified	unclassified	unclassified	Nematocida	Nematocida sp. 1	260947	Ga0129496	Genome Analysis (Isolate)	Gp0038030	No	4276041	2493		
2943495380	Eukaryota	Draft	Bremia lactucae SF5 genome sequencing	Bremia lactucae SF5	University of California, Davis	2943495380	Oomycota	unclassified	Peronosporales	Peronosporaceae	Bremia	Bremia lactucae	261453	Ga0415476	Genome Analysis (Isolate)	Gp0441239	No	115935664	9767		
2955012907	Eukaryota	Permanent Draft	Entamoeba histolytica comparative genome sequencing project	Entamoeba histolytica KU27	J. Craig Venter Institute	2955012907	Evosea	unclassified	Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica	261327	Ga0040259	Genome Analysis (Isolate)	Gp0007929	No	15272057	7457		
2941119261	Eukaryota	Permanent Draft	Cladophialophora psammophila CBS 110553 Genome sequencing	Cladophialophora psammophila CBS 110553	Broad Institute	2941119261	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora psammophila	260922	Ga0129426	Genome Analysis (Isolate)	Gp0037823	No	39420127	13421		
2942501881	Eukaryota	Permanent Draft	Genome and transcriptome sequencing of Toxoplasma gondii ME49	Toxoplasma gondii VAND	J. Craig Venter Institute	2942501881	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	261318	Ga0040060	Genome Analysis (Isolate)	Gp0008872	No	64272567	9426		
2942695649	Eukaryota	Permanent Draft	Plasmodium 50 Genomes	Plasmodium falciparum NF54	Broad Institute	2942695649	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	261339	Ga0040347	Genome Analysis (Isolate)	Gp0038165	No	25800246	5982		
2955664053	Eukaryota	Draft	Isolates of two closely related phytophthora species causing either red core disease on Strawberry (P.fragariae) or Raspberry root rot (P.rubi). Genome sequencing and assembly	Phytophthora rubi SCRP249	National Institute of Animal Biotechnology (NIAB)	2955664053	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora rubi	261499	Ga0487924	Genome Analysis (Isolate)	Gp0548284	No	77788370	34481		
2944278851	Eukaryota	Draft	Genome sequencing and annotation for Aphanomyces spp. Genome sequencing and assembly	Aphanomyces astaci Yx	University of Exeter	2944278851	Oomycota	unclassified	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces astaci	261512	Ga0487940	Genome Analysis (Isolate)	Gp0546917	No	53621013	14311		
2941380253	Eukaryota	Permanent Draft	Beauveria brongniartii RCEF 3172 Genome sequencing	Beauveria brongniartii RCEF 3172	Chinese Academy of Sciences, SIBS	2941380253	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria brongniartii	260955	Ga0129561	Genome Analysis (Isolate)	Gp0039312	No	32515992	9595		
2942721997	Eukaryota	Permanent Draft	Leishmania mexicana MHOM/GT/2001/U1103	Leishmania mexicana MHOM/GT/2001/U1103	Wellcome Trust Sanger Institute	2942721997	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania mexicana	261344	Ga0099572	Genome Analysis (Isolate)	Gp0002400	No	32108741	8351		
2943174757	Eukaryota	Permanent Draft	Genome sequencing of Phytophthora kernoviae - Univ of Exeter	Phytophthora kernoviae NZFS 2646	University of Exeter	2943174757	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora kernoviae	261395	Ga0129917	Genome Analysis (Isolate)	Gp0103422	No	36590891	9852		
2943075261	Eukaryota	Permanent Draft	Plasmodium falciparum Uganda Palo-Alto (FUP/H) genome sequencing	Plasmodium falciparum Palo Alto/Uganda	Broad Institute	2943075261	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	261375	Ga0129520	Genome Analysis (Isolate)	Gp0038166	No	24562422	6095		
2944134714	Eukaryota	Draft	Perkinsus chesapeaki ATCC PRA-425	Perkinsus chesapeaki ATCC PRA-425	Department of Primary Industries, Queensland	2944134714	Perkinsozoa	unclassified	Perkinsida	Perkinsidae	Perkinsus	Perkinsus chesapeaki	261503	Ga0487929	Genome Analysis (Isolate)	Gp0549471	No	41684223	11394		
2943832525	Eukaryota	Finished	Angomonas deanei ATCC PRA-265	Angomonas deanei ATCC PRA-265	University of York Wentworth, UK	2943832525	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Angomonas	Angomonas deanei	261490	Ga0487914	Genome Analysis (Isolate)	Gp0548244	No	20976081	10512		
2955404044	Eukaryota	Draft	Phytophthora cactorum 10300	Phytophthora cactorum 10300	National Institute of Animal Biotechnology (NIAB)	2955404044	Oomycota	unclassified	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora cactorum	261462	Ga0487882	Genome Analysis (Isolate)	Gp0546586	No	59251042	24185		
